statistics,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo
"[{'team': {'id': 151, 'name': 'Goias', 'logo': 'https://media.api-sports.io/football/teams/151.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Defender', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",356837,Guilherme,Guilherme Elias,Cardoso,18,2004-03-26,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/356837.png
"[{'team': {'id': 151, 'name': 'Goias', 'logo': 'https://media.api-sports.io/football/teams/151.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",356838,Pablo,Pablo,Martins da Silva,19,2003-06-07,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/356838.png
"[{'team': {'id': 152, 'name': 'Juventude', 'logo': 'https://media.api-sports.io/football/teams/152.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Defender', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",358568,Jeder,Jeder Valtemir,Jardim da Silva,20,2002-01-05,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/358568.png
"[{'team': {'id': 125, 'name': 'America Mineiro', 'logo': 'https://media.api-sports.io/football/teams/125.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Defender', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",360304,Marcão,Marcos Vinicius,Carvalho dos Reis,21,2001-05-15,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/360304.png
"[{'team': {'id': 125, 'name': 'America Mineiro', 'logo': 'https://media.api-sports.io/football/teams/125.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",361041,Marcos Vinicius,Marcos Vinicius,Ribeiro do Prado,18,2004-02-27,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/361041.png
"[{'team': {'id': 120, 'name': 'Botafogo', 'logo': 'https://media.api-sports.io/football/teams/120.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Attacker', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",361752,Jhonnatha Borges,Jhonnatha,Souza Borges,18,2004-04-20,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/361752.png
"[{'team': {'id': 128, 'name': 'Santos', 'logo': 'https://media.api-sports.io/football/teams/128.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Defender', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",362712,L. Zabala,Leonardo Yassir,Zabala Zeballos,20,2002-05-23,,Bolivia,Bolivia,,,False,https://media.api-sports.io/football/players/362712.png
"[{'team': {'id': 121, 'name': 'Palmeiras', 'logo': 'https://media.api-sports.io/football/teams/121.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': None, 'lineups': None, 'minutes': None, 'number': None, 'position': 'Defender', 'rating': None, 'captain': False}, 'substitutes': {'in': None, 'out': None, 'bench': None}, 'shots': {'total': None, 'on': None}, 'goals': {'total': None, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': None, 'yellowred': None, 'red': None}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",363315,Serafim,Vinicius,Lima Serafim,18,2004-05-16,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/363315.png
"[{'team': {'id': 1193, 'name': 'Cuiaba', 'logo': 'https://media.api-sports.io/football/teams/1193.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 0, 'bench': 0}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 0, 'conceded': None, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': None, 'missed': None, 'saved': None}}]",363702,Ryan,Ryan Rick,Andrade do Carmo,17,2005-01-09,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/363702.png
"[{'team': {'id': 151, 'name': 'Goias', 'logo': 'https://media.api-sports.io/football/teams/151.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Midfielder', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 0, 'bench': 2}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 0, 'conceded': 0, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}]",371640,Danilo Silva,Danilo,Batista Silva,20,2002-03-12,,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/371640.png
"[{'team': {'id': 1062, 'name': 'Atletico-MG', 'logo': 'https://media.api-sports.io/football/teams/1062.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': 1, 'lineups': 1, 'minutes': 90, 'number': None, 'position': 'Defender', 'rating': '6.200000', 'captain': False}, 'substitutes': {'in': 0, 'out': 0, 'bench': 2}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 0, 'conceded': 0, 'assists': None, 'saves': None}, 'passes': {'total': 80, 'key': None, 'accuracy': 73}, 'tackles': {'total': 2, 'blocks': None, 'interceptions': 2}, 'duels': {'total': 15, 'won': 7}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': 2, 'committed': 2}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}]",32,D. Godín,Diego Roberto,Godín Leal,37,1986-02-16,Rosario,Uruguay,Uruguay,187 cm,78 kg,False,https://media.api-sports.io/football/players/32.png
"[{'team': {'id': 152, 'name': 'Juventude', 'logo': 'https://media.api-sports.io/football/teams/152.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': 19, 'lineups': 14, 'minutes': 1364, 'number': None, 'position': 'Defender', 'rating': '6.741176', 'captain': False}, 'substitutes': {'in': 5, 'out': 3, 'bench': 12}, 'shots': {'total': 14, 'on': 7}, 'goals': {'total': 1, 'conceded': 0, 'assists': 1, 'saves': None}, 'passes': {'total': 465, 'key': 10, 'accuracy': 21}, 'tackles': {'total': 25, 'blocks': 5, 'interceptions': 28}, 'duels': {'total': 133, 'won': 66}, 'dribbles': {'attempts': 35, 'success': 13, 'past': None}, 'fouls': {'drawn': 15, 'committed': 11}, 'cards': {'yellow': 4, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}]",9310,Moraes,Onitlasi Júnior,de Moraes Rodrigues,26,1997-10-03,Goianira,Brazil,Brazil,170 cm,65 kg,False,https://media.api-sports.io/football/players/9310.png
"[{'team': {'id': 151, 'name': 'Goias', 'logo': 'https://media.api-sports.io/football/teams/151.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': 0, 'lineups': 0, 'minutes': 0, 'number': None, 'position': 'Goalkeeper', 'rating': None, 'captain': False}, 'substitutes': {'in': 0, 'out': 0, 'bench': 1}, 'shots': {'total': None, 'on': None}, 'goals': {'total': 0, 'conceded': 0, 'assists': None, 'saves': None}, 'passes': {'total': None, 'key': None, 'accuracy': None}, 'tackles': {'total': None, 'blocks': None, 'interceptions': None}, 'duels': {'total': None, 'won': None}, 'dribbles': {'attempts': None, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': None}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': 0}}]",9374,Márcio Victor da Silva,Márcio Victor,da Silva,23,2000-11-06,São Paulo,Brazil,Brazil,,,False,https://media.api-sports.io/football/players/9374.png
"[{'team': {'id': 125, 'name': 'America Mineiro', 'logo': 'https://media.api-sports.io/football/teams/125.png'}, 'league': {'id': 71, 'name': 'Serie A', 'country': 'Brazil', 'logo': 'https://media.api-sports.io/football/leagues/71.png', 'flag': 'https://media.api-sports.io/flags/br.svg', 'season': 2022}, 'games': {'appearences': 6, 'lineups': 4, 'minutes': 347, 'number': None, 'position': 'Defender', 'rating': '6.700000', 'captain': False}, 'substitutes': {'in': 2, 'out': 2, 'bench': 9}, 'shots': {'total': 3, 'on': 1}, 'goals': {'total': 0, 'conceded': 0, 'assists': None, 'saves': None}, 'passes': {'total': 106, 'key': 3, 'accuracy': 20}, 'tackles': {'total': 8, 'blocks': 2, 'interceptions': 4}, 'duels': {'total': 24, 'won': 13}, 'dribbles': {'attempts': 2, 'success': None, 'past': None}, 'fouls': {'drawn': None, 'committed': 1}, 'cards': {'yellow': 0, 'yellowred': 0, 'red': 0}, 'penalty': {'won': None, 'commited': None, 'scored': 0, 'missed': 0, 'saved': None}}]",9835,João Paulo,João Paulo,Gomes da Costa,36,1986-07-01,Rio de Janeiro,Brazil,Brazil,173 cm,71 kg,False,https://media.api-sports.io/football/players/9835.png
